gene_id,token_id,gene_name,nonzero_median,gene_version_x,gene_biotype_x,Chromosome_x,Start_x,End_x,scenic_tf,gene_version_y,gene_biotype_y,Chromosome_y,Start_y,End_y,gene_version,gene_biotype,Chromosome,Start,End
ENSG00000004468,51,CD38,2.748688021931312,13.0,protein_coding,4,15778274.0,15853232.0,False,13.0,protein_coding,4,15778274.0,15853232.0,13.0,protein_coding,4,15778274.0,15853232.0
ENSG00000004478,52,FKBP4,2.4404894996830633,8.0,protein_coding,12,2794969.0,2805423.0,False,8.0,protein_coding,12,2794969.0,2805423.0,8.0,protein_coding,12,2794969.0,2805423.0
ENSG00000004487,53,KDM1A,2.673017452269543,18.0,protein_coding,1,23019442.0,23083689.0,False,18.0,protein_coding,1,23019442.0,23083689.0,18.0,protein_coding,1,23019442.0,23083689.0
ENSG00000004534,54,RBM6,4.16913495872096,15.0,protein_coding,3,49940006.0,50100045.0,False,15.0,protein_coding,3,49940006.0,50100045.0,15.0,protein_coding,3,49940006.0,50100045.0
ENSG00000004660,55,CAMKK1,2.7755859585422593,15.0,protein_coding,17,3860314.0,3894891.0,False,15.0,protein_coding,17,3860314.0,3894891.0,15.0,protein_coding,17,3860314.0,3894891.0
ENSG00000004700,56,RECQL,2.1961865382252426,16.0,protein_coding,12,21468909.0,21501669.0,False,16.0,protein_coding,12,21468909.0,21501669.0,16.0,protein_coding,12,21468909.0,21501669.0
ENSG00000004766,57,VPS50,3.8765721682428507,17.0,protein_coding,7,93232339.0,93361123.0,False,17.0,protein_coding,7,93232339.0,93361123.0,17.0,protein_coding,7,93232339.0,93361123.0
ENSG00000004776,58,HSPB6,6.089976256691802,13.0,protein_coding,19,35754565.0,35758079.0,False,13.0,protein_coding,19,35754565.0,35758079.0,13.0,protein_coding,19,35754565.0,35758079.0
ENSG00000004777,59,ARHGAP33,3.695044108885147,19.0,protein_coding,19,35774531.0,35788822.0,False,19.0,protein_coding,19,35774531.0,35788822.0,19.0,protein_coding,19,35774531.0,35788822.0
ENSG00000004779,60,NDUFAB1,3.0323816086114976,10.0,protein_coding,16,23581013.0,23596316.0,False,10.0,protein_coding,16,23581013.0,23596316.0,10.0,protein_coding,16,23581013.0,23596316.0
ENSG00000004799,61,PDK4,4.393205701915562,8.0,protein_coding,7,95583498.0,95596516.0,False,8.0,protein_coding,7,95583498.0,95596516.0,8.0,protein_coding,7,95583498.0,95596516.0
ENSG00000004809,62,SLC22A16,1.6418140290624568,14.0,protein_coding,6,110424686.0,110476641.0,False,14.0,protein_coding,6,110424686.0,110476641.0,14.0,protein_coding,6,110424686.0,110476641.0
ENSG00000004838,63,ZMYND10,6.203049622887605,14.0,protein_coding,3,50341109.0,50345732.0,False,14.0,protein_coding,3,50341109.0,50345732.0,14.0,protein_coding,3,50341109.0,50345732.0
ENSG00000004846,64,ABCB5,2.4321472464828022,17.0,protein_coding,7,20615666.0,20777038.0,False,17.0,protein_coding,7,20615666.0,20777038.0,17.0,protein_coding,7,20615666.0,20777038.0
ENSG00000004848,65,ARX,5.849269771975908,8.0,protein_coding,X,25003693.0,25016420.0,True,8.0,protein_coding,X,25003693.0,25016420.0,8.0,protein_coding,X,25003693.0,25016420.0
ENSG00000004864,66,SLC25A13,2.7485649421282576,14.0,protein_coding,7,96120219.0,96322147.0,False,14.0,protein_coding,7,96120219.0,96322147.0,14.0,protein_coding,7,96120219.0,96322147.0
ENSG00000004866,67,ST7,5.964176500171531,22.0,protein_coding,7,116953237.0,117230176.0,False,22.0,protein_coding,7,116953237.0,117230176.0,22.0,protein_coding,7,116953237.0,117230176.0
ENSG00000004897,68,CDC27,3.1898225913108393,12.0,protein_coding,17,47117702.0,47189422.0,False,12.0,protein_coding,17,47117702.0,47189422.0,12.0,protein_coding,17,47117702.0,47189422.0
ENSG00000004939,69,SLC4A1,7.074807039203039,16.0,protein_coding,17,44248389.0,44268141.0,False,16.0,protein_coding,17,44248389.0,44268141.0,16.0,protein_coding,17,44248389.0,44268141.0
ENSG00000004948,70,CALCR,17.689110597754404,16.0,protein_coding,7,93424485.0,93574730.0,False,16.0,protein_coding,7,93424485.0,93574730.0,16.0,protein_coding,7,93424485.0,93574730.0
ENSG00000004961,71,HCCS,1.5102975021262588,15.0,protein_coding,X,11111300.0,11123086.0,False,15.0,protein_coding,X,11111300.0,11123086.0,15.0,protein_coding,X,11111300.0,11123086.0
ENSG00000004975,72,DVL2,1.8651035711028596,12.0,protein_coding,17,7225341.0,7234517.0,False,12.0,protein_coding,17,7225341.0,7234517.0,12.0,protein_coding,17,7225341.0,7234517.0
ENSG00000005001,73,PRSS22,2.4418458080369785,10.0,protein_coding,16,2852729.0,2858170.0,False,10.0,protein_coding,16,2852729.0,2858170.0,10.0,protein_coding,16,2852729.0,2858170.0
ENSG00000005007,74,UPF1,2.0466803643858906,13.0,protein_coding,19,18831958.0,18868230.0,False,13.0,protein_coding,19,18831958.0,18868230.0,13.0,protein_coding,19,18831958.0,18868230.0
ENSG00000005020,75,SKAP2,2.6247895018990195,13.0,protein_coding,7,26667067.0,26995239.0,False,13.0,protein_coding,7,26667067.0,26995239.0,13.0,protein_coding,7,26667067.0,26995239.0
ENSG00000005022,76,SLC25A5,5.05802521809077,6.0,protein_coding,X,119468421.0,119471396.0,False,6.0,protein_coding,X,119468421.0,119471396.0,6.0,protein_coding,X,119468421.0,119471396.0
ENSG00000005059,77,MCUB,2.633590436529197,16.0,protein_coding,4,109560208.0,109688719.0,False,16.0,protein_coding,4,109560208.0,109688719.0,16.0,protein_coding,4,109560208.0,109688719.0
ENSG00000005073,78,HOXA11,1.3494747804097469,6.0,protein_coding,7,27181156.0,27185232.0,True,6.0,protein_coding,7,27181156.0,27185232.0,6.0,protein_coding,7,27181156.0,27185232.0
ENSG00000005075,79,POLR2J,2.6082773208883916,16.0,protein_coding,7,102473127.0,102478922.0,False,16.0,protein_coding,7,102473127.0,102478922.0,16.0,protein_coding,7,102473127.0,102478922.0
ENSG00000005100,80,DHX33,2.022569417626628,13.0,protein_coding,17,5440916.0,5468982.0,False,13.0,protein_coding,17,5440916.0,5468982.0,13.0,protein_coding,17,5440916.0,5468982.0
ENSG00000005102,81,MEOX1,3.2826934018485465,14.0,protein_coding,17,43640388.0,43661922.0,True,14.0,protein_coding,17,43640388.0,43661922.0,14.0,protein_coding,17,43640388.0,43661922.0
ENSG00000005108,82,THSD7A,11.302532910296414,17.0,protein_coding,7,11370364.0,11832198.0,False,17.0,protein_coding,7,11370364.0,11832198.0,17.0,protein_coding,7,11370364.0,11832198.0
ENSG00000005156,83,LIG3,1.7919066080278236,12.0,protein_coding,17,34980511.0,35009743.0,False,12.0,protein_coding,17,34980511.0,35009743.0,12.0,protein_coding,17,34980511.0,35009743.0
ENSG00000005175,84,RPAP3,2.134948428444457,10.0,protein_coding,12,47661248.0,47706030.0,False,10.0,protein_coding,12,47661248.0,47706030.0,10.0,protein_coding,12,47661248.0,47706030.0
ENSG00000005187,85,ACSM3,4.004333540561132,12.0,protein_coding,16,20610242.0,20797581.0,False,12.0,protein_coding,16,20610242.0,20797581.0,12.0,protein_coding,16,20610242.0,20797581.0
ENSG00000005189,86,REXO5,3.023480520925532,20.0,protein_coding,16,20806428.0,20849665.0,False,20.0,protein_coding,16,20806428.0,20849665.0,20.0,protein_coding,16,20806428.0,20849665.0
ENSG00000005194,87,CIAPIN1,1.8442968696955129,15.0,protein_coding,16,57428186.0,57447420.0,False,15.0,protein_coding,16,57428186.0,57447420.0,15.0,protein_coding,16,57428186.0,57447420.0
ENSG00000005238,88,ATOSB,1.8364319249464578,20.0,protein_coding,9,35104111.0,35116341.0,False,20.0,protein_coding,9,35104111.0,35116341.0,20.0,protein_coding,9,35104111.0,35116341.0
ENSG00000005243,89,COPZ2,1.9062946106616638,10.0,protein_coding,17,48026166.0,48038030.0,False,10.0,protein_coding,17,48026166.0,48038030.0,10.0,protein_coding,17,48026166.0,48038030.0
ENSG00000005249,90,PRKAR2B,5.743920295140731,13.0,protein_coding,7,107044704.0,107161811.0,False,13.0,protein_coding,7,107044704.0,107161811.0,13.0,protein_coding,7,107044704.0,107161811.0
ENSG00000005302,91,MSL3,2.1720163255925566,19.0,protein_coding,X,11758158.0,11775772.0,False,19.0,protein_coding,X,11758158.0,11775772.0,19.0,protein_coding,X,11758158.0,11775772.0
ENSG00000005339,92,CREBBP,3.8945441808153105,15.0,protein_coding,16,3725053.0,3880713.0,False,15.0,protein_coding,16,3725053.0,3880713.0,15.0,protein_coding,16,3725053.0,3880713.0
ENSG00000005379,93,TSPOAP1,3.3041224237592624,17.0,protein_coding,17,58301227.0,58328795.0,False,17.0,protein_coding,17,58301227.0,58328795.0,17.0,protein_coding,17,58301227.0,58328795.0
ENSG00000005381,94,MPO,8.790531796108695,9.0,protein_coding,17,58269854.0,58280935.0,False,9.0,protein_coding,17,58269854.0,58280935.0,9.0,protein_coding,17,58269854.0,58280935.0
ENSG00000005421,95,PON1,3.857212478289606,9.0,protein_coding,7,95297675.0,95324532.0,False,9.0,protein_coding,7,95297675.0,95324532.0,9.0,protein_coding,7,95297675.0,95324532.0
ENSG00000005436,96,GCFC2,2.587780313000784,14.0,protein_coding,2,75651999.0,75710985.0,False,14.0,protein_coding,2,75651999.0,75710985.0,14.0,protein_coding,2,75651999.0,75710985.0
ENSG00000005448,97,WDR54,2.1435994679590884,17.0,protein_coding,2,74421677.0,74425755.0,False,17.0,protein_coding,2,74421677.0,74425755.0,17.0,protein_coding,2,74421677.0,74425755.0
ENSG00000005469,98,CROT,2.4463975931165414,12.0,protein_coding,7,87345663.0,87399794.0,False,12.0,protein_coding,7,87345663.0,87399794.0,12.0,protein_coding,7,87345663.0,87399794.0
ENSG00000005471,99,ABCB4,3.0977335068435394,19.0,protein_coding,7,87401695.0,87480435.0,False,19.0,protein_coding,7,87401695.0,87480435.0,19.0,protein_coding,7,87401695.0,87480435.0
ENSG00000005483,100,KMT2E,4.212614745537605,23.0,protein_coding,7,104940942.0,105115019.0,False,23.0,protein_coding,7,104940942.0,105115019.0,23.0,protein_coding,7,104940942.0,105115019.0
ENSG00000005486,101,RHBDD2,2.7009855327468726,17.0,protein_coding,7,75842601.0,75888926.0,False,17.0,protein_coding,7,75842601.0,75888926.0,17.0,protein_coding,7,75842601.0,75888926.0
ENSG00000005513,102,SOX8,4.537488224168274,10.0,protein_coding,16,981769.0,986979.0,True,10.0,protein_coding,16,981769.0,986979.0,10.0,protein_coding,16,981769.0,986979.0
ENSG00000005700,103,IBTK,2.8566401634595575,15.0,protein_coding,6,82169985.0,82247754.0,False,15.0,protein_coding,6,82169985.0,82247754.0,15.0,protein_coding,6,82169985.0,82247754.0
ENSG00000005801,104,ZNF195,2.3661036325886733,18.0,protein_coding,11,3339260.0,3379222.0,True,18.0,protein_coding,11,3339260.0,3379222.0,18.0,protein_coding,11,3339260.0,3379222.0
ENSG00000005810,105,MYCBP2,4.227310391428561,20.0,protein_coding,13,77042473.0,77327094.0,False,20.0,protein_coding,13,77042473.0,77327094.0,20.0,protein_coding,13,77042473.0,77327094.0
ENSG00000005812,106,FBXL3,2.478860390950398,11.0,protein_coding,13,76992597.0,77027195.0,False,11.0,protein_coding,13,76992597.0,77027195.0,11.0,protein_coding,13,76992597.0,77027195.0
ENSG00000005844,107,ITGAL,2.932924388342978,19.0,protein_coding,16,30472657.0,30523567.0,False,19.0,protein_coding,16,30472657.0,30523567.0,19.0,protein_coding,16,30472657.0,30523567.0
ENSG00000005882,108,PDK2,1.855956227911911,12.0,protein_coding,17,50094736.0,50112152.0,False,12.0,protein_coding,17,50094736.0,50112152.0,12.0,protein_coding,17,50094736.0,50112152.0
ENSG00000005884,109,ITGA3,2.736386138442187,18.0,protein_coding,17,50055967.0,50090481.0,False,18.0,protein_coding,17,50055967.0,50090481.0,18.0,protein_coding,17,50055967.0,50090481.0
ENSG00000005889,110,ZFX,2.4818412326832613,16.0,protein_coding,X,24149172.0,24216255.0,True,16.0,protein_coding,X,24149172.0,24216255.0,16.0,protein_coding,X,24149172.0,24216255.0
ENSG00000005893,111,LAMP2,2.6007215187142854,16.0,protein_coding,X,120426147.0,120469365.0,False,16.0,protein_coding,X,120426147.0,120469365.0,16.0,protein_coding,X,120426147.0,120469365.0
ENSG00000005955,112,,6.749633168394526,,,,,,False,,,,,,,,,,
ENSG00000005961,113,ITGA2B,3.6882412019905986,19.0,protein_coding,17,44372179.0,44389649.0,False,19.0,protein_coding,17,44372179.0,44389649.0,19.0,protein_coding,17,44372179.0,44389649.0
ENSG00000005981,114,ASB4,7.313680646670735,13.0,protein_coding,7,95478443.0,95540233.0,False,13.0,protein_coding,7,95478443.0,95540233.0,13.0,protein_coding,7,95478443.0,95540233.0
ENSG00000006007,115,GDE1,1.9277482854138097,12.0,protein_coding,16,19501692.0,19522123.0,False,12.0,protein_coding,16,19501692.0,19522123.0,12.0,protein_coding,16,19501692.0,19522123.0
ENSG00000006015,116,REX1BD,2.637860011711042,18.0,protein_coding,19,18588684.0,18592337.0,False,18.0,protein_coding,19,18588684.0,18592337.0,18.0,protein_coding,19,18588684.0,18592337.0
ENSG00000006016,117,CRLF1,5.9157493068385305,12.0,protein_coding,19,18572219.0,18607741.0,False,12.0,protein_coding,19,18572219.0,18607741.0,12.0,protein_coding,19,18572219.0,18607741.0
ENSG00000006025,118,OSBPL7,2.355275826198696,12.0,protein_coding,17,47807371.0,47821834.0,False,12.0,protein_coding,17,47807371.0,47821834.0,12.0,protein_coding,17,47807371.0,47821834.0
ENSG00000006042,119,TMEM98,2.798923279436366,12.0,protein_coding,17,32927909.0,32945106.0,False,12.0,protein_coding,17,32927909.0,32945106.0,12.0,protein_coding,17,32927909.0,32945106.0
ENSG00000006047,120,YBX2,6.534071137106103,13.0,protein_coding,17,7288262.0,7294639.0,False,13.0,protein_coding,17,7288262.0,7294639.0,13.0,protein_coding,17,7288262.0,7294639.0
ENSG00000006059,121,KRT33A,2.1144321206850676,4.0,protein_coding,17,41346091.0,41350828.0,False,4.0,protein_coding,17,41346091.0,41350828.0,4.0,protein_coding,17,41346091.0,41350828.0
ENSG00000006071,122,ABCC8,4.668097613520778,16.0,protein_coding,11,17392497.0,17476894.0,False,16.0,protein_coding,11,17392497.0,17476894.0,16.0,protein_coding,11,17392497.0,17476894.0
ENSG00000006074,123,,65.28683298299795,,,,,,False,,,,,,,,,,
ENSG00000006075,124,,22.917740208244286,,,,,,False,,,,,,,,,,
ENSG00000006114,125,,7.561264365377418,,,,,,False,,,,,,,,,,
ENSG00000006116,126,CACNG3,7.068656839945347,4.0,protein_coding,16,24256334.0,24362412.0,False,4.0,protein_coding,16,24256334.0,24362412.0,4.0,protein_coding,16,24256334.0,24362412.0
ENSG00000006118,127,TMEM132A,3.4882422979105407,15.0,protein_coding,11,60924459.0,60937159.0,False,15.0,protein_coding,11,60924459.0,60937159.0,15.0,protein_coding,11,60924459.0,60937159.0
ENSG00000006125,128,AP2B1,2.9812213078989394,18.0,protein_coding,17,35578045.0,35726413.0,False,18.0,protein_coding,17,35578045.0,35726413.0,18.0,protein_coding,17,35578045.0,35726413.0
ENSG00000006128,129,TAC1,4.581419361593297,12.0,protein_coding,7,97732083.0,97740472.0,False,12.0,protein_coding,7,97732083.0,97740472.0,12.0,protein_coding,7,97732083.0,97740472.0
ENSG00000006194,130,ZNF263,2.0355384297061656,10.0,protein_coding,16,3263799.0,3301401.0,True,10.0,protein_coding,16,3263799.0,3301401.0,10.0,protein_coding,16,3263799.0,3301401.0
ENSG00000006210,131,CX3CL1,3.5651480808002054,7.0,protein_coding,16,57372476.0,57385044.0,False,7.0,protein_coding,16,57372476.0,57385044.0,7.0,protein_coding,16,57372476.0,57385044.0
ENSG00000006282,132,SPATA20,1.8929496636659313,21.0,protein_coding,17,50543057.0,50555852.0,False,21.0,protein_coding,17,50543057.0,50555852.0,21.0,protein_coding,17,50543057.0,50555852.0
ENSG00000006283,133,CACNA1G,4.288664841079678,18.0,protein_coding,17,50560714.0,50627474.0,False,18.0,protein_coding,17,50560714.0,50627474.0,18.0,protein_coding,17,50560714.0,50627474.0
ENSG00000006327,134,TNFRSF12A,3.4285662377963257,14.0,protein_coding,16,3018444.0,3022383.0,False,14.0,protein_coding,16,3018444.0,3022383.0,14.0,protein_coding,16,3018444.0,3022383.0
ENSG00000006377,135,DLX6,1.6599668573494086,11.0,protein_coding,7,97005552.0,97011040.0,True,11.0,protein_coding,7,97005552.0,97011040.0,11.0,protein_coding,7,97005552.0,97011040.0
ENSG00000006432,136,MAP3K9,3.7065534674968306,16.0,protein_coding,14,70722525.0,70809534.0,False,16.0,protein_coding,14,70722525.0,70809534.0,16.0,protein_coding,14,70722525.0,70809534.0
ENSG00000006451,137,RALA,2.6109004008687866,8.0,protein_coding,7,39623564.0,39708120.0,False,8.0,protein_coding,7,39623564.0,39708120.0,8.0,protein_coding,7,39623564.0,39708120.0
ENSG00000006453,138,BAIAP2L1,2.8098186355625407,14.0,protein_coding,7,98291649.0,98401090.0,False,14.0,protein_coding,7,98291649.0,98401090.0,14.0,protein_coding,7,98291649.0,98401090.0
ENSG00000006459,139,KDM7A,2.713365983523479,11.0,protein_coding,7,140084745.0,140176983.0,False,11.0,protein_coding,7,140084745.0,140176983.0,11.0,protein_coding,7,140084745.0,140176983.0
ENSG00000006468,140,ETV1,4.7591164407606605,14.0,protein_coding,7,13891228.0,13991425.0,True,14.0,protein_coding,7,13891228.0,13991425.0,14.0,protein_coding,7,13891228.0,13991425.0
ENSG00000006530,141,AGK,2.680042528946658,18.0,protein_coding,7,141551277.0,141655244.0,False,18.0,protein_coding,7,141551277.0,141655244.0,18.0,protein_coding,7,141551277.0,141655244.0
