,Size (MB),File Type,File Format,Bio Rep No,Tech Rep No,Biosource Type,Organism,File Status,Publication,Experiment Type,Replicate Info,Assay Details,Biosource,Dataset,Condition,In Experiment As,Project,Notes
39,345.99,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
40,742.21,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
41,736.02,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
42,674.9,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
43,224.48,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
44,558.2,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
45,471.34,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
46,830.54,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
47,594.71,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
48,450.62,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
49,777.14,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
50,648.03,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
51,402.93,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
52,849.26,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
53,996.08,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
54,485.46,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
55,667.33,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
56,643.61,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
57,683.73,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
58,814.64,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
59,714.34,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
60,900.41,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
61,704.86,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
62,551.12,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
63,935.3,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
64,1074.86,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
65,215.6,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
66,923.12,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
67,663.67,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
68,729.83,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
69,825.26,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
70,734.95,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
71,718.81,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
72,859.1,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
73,394.59,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
74,509.38,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
75,328.57,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
76,789.52,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
77,680.82,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
78,791.19,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
79,637.55,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
80,685.81,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
81,519.25,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
82,867.63,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
83,608.15,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
84,525.48,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
85,640.68,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
86,454.52,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
87,789.24,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
88,633.53,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
89,907.98,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
90,616.35,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
91,498.13,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
92,937.7,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
93,484.02,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
94,641.57,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
95,606.89,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
96,475.27,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
97,194.28,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
98,753.4,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
99,707.69,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
100,366.27,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
101,506.45,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
102,562.68,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
103,866.53,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
104,526.73,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
105,68.56,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
